Pic_id,Text,Unnamed: 2,Target,Source,SentimentCategory
11.jpg,"""ANDROID? 4.3 WITH GUARANTEED UPGRADE""",1,robot,people,1
12.jpg,motorizr,1,woman,photographs,0
13.jpg,motorola.whatever did they do...berore cellphones,0,,,0
14.jpg,360 degrees of integration.within the information flowing between citizens.responders and agencies is the intelligence that builds a sager city.motorola solutions can help you collect more of it.make it actionable and scecurely distribute it across missioncritical devices and easytomanage networks.its the technology and expertise that turns noise into informationinformation into intelligenceandintelligence into sagety.and its how to do the avsolute most withlessbuild safer cities and thriving communities.safer cities.thriving communities.,1,360 Degrees of Integration,circle,1
15.jpg,slim 14.8mm.name code.n,1,phone,building,1
16.jpg,shatteredstories,1,turbo 2,brokenness,1
17.jpg,FREE YOUR JOINTS. LIFE NUTRITION,1,nutrition,tools,1
18.jpg,"""Mountain Dew’ll do it fer yew!""  
""Mountain Dew""",0,,,1
19.jpg,the dark knight rises.nin theaters july 20.go inside.gotham city.and rule the streets with dew.mtn dew.,1,Mountain Dew,Batman,1
20.jpg,"MAKE THE PHONE COMPANIES REGRET THESE 10,000 FREE NIGHT MINUTES",0,,,1
21.jpg,do the dew.,1,mountain dew,Text,0
22.jpg,mountain dew.,0,,,0
23.jpg,darr.keaage.jeet.hai.mountain dew.,0,,,1
24.jpg,tastes like pepsi.kicks like boom.kick.pepsi.,1,pepsi,ink,0
25.jpg,mountain dew.,1,mountam dew,boom,1
26.jpg,dewcision.votebajablast.votepitchblack.challenge ends 6.8.2016,1,mountam dew,Billar,0
27.jpg,do the dew.mountain dew,1,mountain dew,young,1
28.jpg,meet the ketchups.heinz.,1,People,bottles,0
29.jpg,mountain dew.,0,,,0
30.jpg,"""IT'S NOT WHO YOU KNOW THAT COUNTS. IT'S WHO'S PAYING THE TAB.
CERVEZA IMPORTADA
LIVE ONE CERVEZA AT A TIME.""",1,beer,sun,1
31.jpg,"GENESEE  
Real Old-Fashioned Goodness",0,,,1
32.jpg,"""The natural truth about: Don't eat anything your grandma wouldn't recognize. Made from stone-ground whole mustard seeds. 100% natural, no calories, fat, or gluten. Just flavor. See more natural truths...""",0,,,0
33.jpg,"MAILLE  
Dijon Originale  
Traditional Dijon Mustard  

A unique taste since 1747  

Since 1747 Maille (pronounced ""MY"") has developed more than 260 years of expertise to be able to offer you the finest Dijon mustard. By splitting our mustard seeds, Maille has a refined texture and unique taste.

Today, Maille introduces Le Drunch, the latest Parisian dining trend making its way to London, launching at the exclusive Maille Boutique. Discover more at www.maille.co.uk",0,,,0
34.jpg,tomato ketchup.bicycle,1,mustard,melted,0
35.jpg,eocksroll your food,1,cream,egg,0
36.jpg,eleven.onlyn,1,seven eleven,cheap,0
37.jpg,"
Pure and unadulterated, showcasing the loyalty of Asla Lani.
Completely natural, therefore very natural for both mother and baby.",0,,,0
38.jpg,"""Colman's Mustard""。",1,bear,people,0
39.jpg,what you see...whar you get,1,Hamburgo,Hamburgo,0
40.jpg,meet the ketchuos.heinsz.tomato ketchup.organic.simply heinz.,1,human,ketchups,0
41.jpg,"""Golden Flavor""  
makes Milwaukee's finest beer even finer!

MILWAUKEE  
Blatz Beer  
Brewed in Milwaukee!  
First in Milwaukee!  
Finest in Milwaukee!",0,,,1
42.jpg,GUINNESS DRAUGHT,0,,,1
43.jpg,toasted vegetable.ritz.ripe for the snackin.introducing roasted vegetable ritzwith real vegetables roasted in for a delicious twist on a classic taste.ritz it up.,1,crackers,plant,0
44.jpg,ha en riktigt kall sommar.,1,beer,ice,1
45.jpg,"HARPER'S MAGAZINE ADVERTISER  
Packard MOTOR CARS 1910  
 
ASK THE MAN WHO OWNS ONE  
PACKARD MOTOR CAR COMPANY  
DETROIT, MICHIGAN",0,,,0
46.jpg,freege it.drink it.with crushed fruits with fruit juices.,1,can,pig,0
47.jpg,how to make a hamburger happysay cheesemake a happyburger with snack mate cheddar cheese of bright mellow cheese.make other burgers happy with snack mate french onion.american or.pimiento cheese spreadsmade only bu nabisco with delicious pasteruized processed cheese.instant goodmake a happyburger.youll never eat a blah burger again,1,cheese,pleasure,0
48.jpg,take a look at this fruit cake.undeeda bakers fruit cake.,0,,,1
49.jpg,"STAR-LORD IS BACK!
CHRIS CLAREMONT AND CARMINE INFANTINO CONTINUE THE STAR-SPANNING SAGA OF THE MOST COSMIC CRUSADER OF ALL!
DON'T MISS Marvel Preview #14! ON SALE SOON!
?1978 MARVEL COMICS GROUP",0,,,1
50.jpg,sweet music for young familiesone plan that insures everything.insurance sationwide.,1,one,room,1
51.jpg,"""Light Beer""",0,,,0
52.jpg,"
The White Bear
Light colored beer",0,,,1
53.jpg,"THE LAWS OF GRAVITY DON'T APPLY TO EUPHORIA.

My leash is broken. Nothing can keep me —  
I can't find that kind of —  
There's an —  
beaten path, it's everything  
together. Nature can't be put on a leash, either.

Page, Arizona

WARREN MAXIM’S NATURE VALLEY. WARREN MAXIM’S NATURE VALLEY BAR.  
WHERE’S YOURS?

NATURE VALLEY?  
OATS 'N HONEY  
THE ENERGY BAR NATURE INTENDED.  
wheresyours.com",0,,,0
54.jpg,i do it my way.,1,Text,Plants,1
55.jpg,"
- **Lyeh**
- **100% Pure**
- **Organic Product**",1,bottle,tree,1
56.jpg,ultra creative.cleverinspirational ads.100,1,frog,spray,1
57.jpg,nothing would be more tiresome than eating and drinking if god had not made them a pleasure as well as a necessity.where king meets murray.,1,head,food,1
58.jpg,buckler.vitamine buckler oo,1,bottle,widened,0
59.jpg,“for growing children”,1,child,mother-to-be,1
60.jpg,bsolut vodka.absolut perfection.,1,light,bent,1
61.jpg,fly turkish.app store.turkish airlines.,1,fingers,faces,1
62.jpg,"""Sbarro""
""The happiest bus in New York""",1,bus,drink,1
63.jpg,nestle pure life service.committed to serving you better.we ensure prompt and timely delivery of nestle pure life to your doorstep and are always committed to giving you our best.for free delivery call now111123333,0,,,1
64.jpg,blend.karlsberg,1,beer,baby,1
65.jpg,have a breakhave a kitkat,1,man,bar,0
66.jpg,fridge stuffer.its all about the beer.heineken.,1,bow,label,0
67.jpg,"Dreyer's
togetherness",0,,,1
68.jpg,"Effort turns ordinary people into champions.
Timisoara. In competition with ourselves since 1718.",1,beer,man,1
69.jpg,nescafe.surprise,1,line,smell,1
70.jpg,stress cramping yours style,1,stress,man,1
71.jpg,absolut constriction.absolut.,1,snake,bottle,0
72.jpg,nestle.pure life,0,,,1
73.jpg,re vittelisezvous,1,letter Vittel,Vittel,0
74.jpg,perrier,0,,,1
75.jpg,join the hydration movements.pure life.nestlen,1,America,water flow,0
76.jpg,nestle.pure life.arrowhead.deerpark.acqua panna.natural spring water.nestea.resource.sweet leaf.sweet tea.spring.zephythils.,1,background,water,0
77.jpg,Neutrogena: THE DIFFERENCE BETWEEN FEELING ROUTINE AND FEELING RENEWED.,1,bottle,women,1
78.jpg,"NEUTROGENA DECLARES WAR ON COMPLEXION TROUBLES!  
Enlist today. Get your wild & wonderful battle ribbon pin—FREE!",0,,,1
79.jpg,"PURE SUNSHINE

NEUTROGENA

HOW TO TEND A GROWING SKIN: WATER IT DAILY WITH THE SUNSHINE SOAP. NEUTROGENA  
The ancient Sun worshippers may not have had it quite right. But there’s no denying that sunshine does something good to your skin. So Neutrogena created Sunshine Soap to help keep your skin glowing like sunshine itself. It’s the natural look that’s in. A special formula makes it a great soap for your face. Sunshine Soap is clear, pure and gentle. It’s made with lots of glycerin and no harsh detergents. And it contains no tallow — which is animal fat — which is what most soaps are made of. That’s why Neutrogena doesn’t clog your pores or leave a greasy film. It rinses off clean. So you look clean. You look natural. You look good.",0,,,1
80.jpg,neutrogena.new makeupremoval oils.hydrating variant with cucumber extract.deep clean.brightening variant with mulberry extract.,1,skin care products,Cucumber and cranberry,1
81.jpg,reveal deep clean and brighter skin.neutrogena.deep clean.brightening mulberry ultra foam cleanser.,1,skin care products,cranberry,1
82.jpg,topmodel4,0,,,0
83.jpg,get faster.get lighter.get connected with minimus ionix 3090.enhanced outsole design for better connection.unique midsole for improved flexibility.revlite technology for ultimaate speed.,1,shoe,Spark and Light Track,1
84.jpg,absolut intelligence.,1,vodka,chip,0
85.jpg,"EXCELLENT IS MADE IN LONDON.
LET’S MAKE EXCELLENT HAPPEN.
1080v3
newbalance.co.uk",0,,,1
86.jpg,All Star Converse,1,Skateboard,Shoelaces,1
87.jpg,i have thunder thighs.and thata a compliment because they are strong and toned and muscular.and though they are unwelcome in the petite section they are cheered on in marathons.ill bounce a grandchild on my thunder thighs and then ill go out for a run.just do it.,1,Piernas,Thunder,1
88.jpg,"IT'S NOT THAT I WORK HARDER THAN I DID BEFORE,BUT I DO FEEL LIKE I WORK SMARTER.

NB new balance

ALWAYS EVOLVING.
ALWAYS PUSHING.
ALWAYS IMPROVING.

ALWAYS IN BETA",0,,,1
89.jpg,"SMOOTH JUST GOT FAST.

NB  
LET'S MAKE EXCELLENT HAPPEN.

EMMA COBURN  
TEAM NEW BALANCE RUNNER  
NATIONAL CHAMPION  
IN THE FRESH FOAM ZANTE  

NEWBALANCE.COM/FRESHFOAM",0,,,1
90.jpg,"For pitchers, this is how most nightmares begin.  
New Balance  
Let's make excellent happen.",0,,,1
91.jpg,"new balance
X20

Jose Bautista
4 time All-Star,
2 time home run champion,
Member of the 50 home run club.

Trish Stratus
Fitness Icon, Founder of Stratusphere.",0,,,1
92.jpg,find your personalwherever they are.nextel presentsifollow.ifollowthe tool that allows you to follow your personal in a map in the schedules you want with the gps integrated in all nextel equipments.nextel.hablemos de negoclos.,1,pin,translucent,0
93.jpg,old tyres are good for everything.but your renault.renault.buy 4 tyres and get free windshield wipers kit at renault network.,1,tires,chair,1
94.jpg,honda,1,seat,road,1
95.jpg,nike air,1,shoe,sport,1
96.jpg,absolut personal.swf21 and overseeks tall.clear gentleman for bar hopping.cocktailsand good times.2428.dbf24recently separatedlooking to ease back into dating.8290.sbm26tired of the head games.looking for a nicehonest girl.3394.svm32seeks smartadventurous companion looking for fun.023.,1,bottle,paper,0
97.jpg,the only thing worse than going to the ballet is going to the balle to watch your son,1,son,Ballet,1
98.jpg,"COME ALL CHALLENGERS  
FROM ALL FOUR CORNERS  
THOSE WHO COVET OUR CROWN  
THOSE WHO HAVE WRITTEN US OFF WILL FEEL OUR WRATH  
IN EVERY BONE-CRUNCHING  
TACKLE  
WITH EVERY DEFT PASS AND  
HARRYING RUN  
WITH EVERY KICK  
SCRUM  
AND LINE-OUT  
A CONSTANT THORN IN YOUR SIDE  
FOR IF YOU WANT  
WHAT IS OURS  
BE WARNED

NOT WITHOUT A FIGHT ",0,,,1
99.jpg,"TOUGHEST BATTLES HAPPEN WITHIN OURSELVES  
“LAKERS 24”
",0,,,1
100.jpg,audi design.the future of automotive form.vorsprung durch technik.electrifying design.brtightermore efficient and characteristicprogressive audi light design.,0,,,1
101.jpg,godspeed.sl,1,shoe,wing,1
102.jpg,the sweetest little sinner.with only 140 calories for 8 cookiesnilla wafers make the perfect partner in crime.nilla,1,cookie,evil,0
103.jpg,the finest ingredients.arranged by artists.,1,net,sticks,0
104.jpg," the iconic 370z.  
 buy any new nissan between now and the end of march and you could be the proud owner of the legendary 370z.  
 and benefit from our attractive offers.  
 free registration  
 free comprehensive insurance  
 free 1 year or 20000km service  
 extended warranty.  
 saleh al hamad al mana co.",1,car,rocket,1
105.jpg,in case of nissan auto insurance.,1,car,wood,0
106.jpg,nissa.shify.nissan havara more capacity for fun.,1,Sledding,capacity,1
107.jpg,nissan.leaf.zero emissions.,1,map,leaf,1
108.jpg,nissan.ays only.august 2225.additional.1000 off.limited time.,0,,,0
109.jpg,,0,,,1
110.jpg,absolut stirring,1,bottle,hole,0
111.jpg,the new way to travel.armada,1,car,plane,1
112.jpg,if you could see inside your skin youd protect it.cover up when the sun is strong.sun.cancer.research.uk,1,face,face,1
113.jpg,nivea.give smooth skin day after day,1,arm,animal,1
114.jpg," NIVEA. The 1st rinse-off body lotion. Repairs 10 signs of dry, damaged skin. For instantly silky soft, water-like skin. Use in your shower, apply and rinse off. Apply NIVEA In-Shower Skin Conditioner while still in the shower. Rinse off. Get dressed. New innovation: In-Shower Intensive Skin Conditioner.",0,,,1
115.jpg,be ready to control emotions with new cooling post shave balm.nivea,1,face,distortion,1
116.jpg,nivea for men.sensitive.face care hydri gel.active comfort system.stubblefriendly.moisturiser.preparation is everything.,1,nivea,cactus,1
117.jpg,"ALWAYS SHOW YOUR GOOD SIDE  
Make every side your good side with Phillips Norelco and NIVEA FOR MEN products.

TOM CLANCY'S SPLINTER CELL? SWEEPSTAKES!  
ENTER FOR A CHANCE TO WIN A TRIP TO MONTREAL TO MEET THE SPLINTER CELL CREATORS!

LEARN MORE ABOUT:  
→ PHILIPS NORELCO PRODUCTS  
→ NIVEA FOR MEN PRODUCTS",1,face,face,1
118.jpg,strawberry milk,1,smile,lipstick,1
119.jpg,nokia.je taime cant speak french.voulezvous. coucher avec moi.shut up and let me go.french kiss.looks like love.looks like december.looks like rain.looks a lot like me.looks like yoda.a day without.glasses.here comes.the sun.topless a gogo.golden brown.oopsforgotten.sun lotion.red alert.,0,,,1
120.jpg,nokia.got an appetitesure.,1,cellphone,can opener,1
121.jpg,bahagiaitu gampang.terhubung langsung dengan siapapun dimanapun.nokia,1,Smartphone,net,1
122.jpg,a,1,button,face,1
123.jpg,"TODAY THE SUN WILL RISE AND SET. THE REST IS UP FOR GRABS.
NOKIA

TAKE, TAG, SORT AND SHARE. ALL IN A FLASH
Just click the button on the side of the new Nokia 800, and your pictures are ready to go. Upload, tag and share with friends easily in seconds.
NOKIA",0,,,0
124.jpg,"""Transforms from a phone to a messaging keyboard right before your eyes. Introducing the Nokia 6820""",1,Transfromer,people,1
125.jpg,"Nokia Zine  
A pan-European mobile brand magazine for youngsters",0,,,1
126.jpg,GET OUT AND PLAY,0,,,1
127.jpg,quattro.audi quattro.,1,quattro,mountain,1
128.jpg,"ROSE BOWL GAME
presented by
Northwestern Mutual",0,,,1
129.jpg,"THE OUTDOORS IS YOURS.

There's a whole world outside and it's waiting for you to come and explore. It's a gift from previous explorers, just as it will be a gift from you to the next generation of adventurers. If you care for it, it will return the favor with endless surprises, and challenges that just might teach you things about yourself you never knew. For unforgettable experiences and lifelong memories of adventure, all you have to do is go outside.

THE OUTDOORS IS YOURS, AND IT'S CALLING YOU TO COME EXPLORE.

PLANET EXPLORE  
Powered by THE NORTH FACE",0,,,1
130.jpg,mount hood.foot locker.,0,,,1
131.jpg,"ESCAPE THE CITY.
THE NORTH FACE
NEVER STOP EXPLORING?",1,monster,car,1
132.jpg,wish you had onethe morth face,0,,,1
133.jpg,"O. Henry  
December 2013  
The Art & Soul of Greensboro",1,pyramid,people,0
134.jpg,you get really cranky.when youre hungry.,1,face,rock,0
135.jpg,the sporty little 4seater from oldsmobile.its a good feeling to have an olds around you.n,1,car,starfire,1
136.jpg,bsolut steadman.,1,vodka,art,0
137.jpg,"...BUT IS THE WORLD READY?

A small, sophisticated part of it is.

That small, knowing part that demands a whole lot more out of a set of treads than just transportation.  
That small, hard-core part of it that thinks perfection in automobiles is worth shooting for.

That’s who the good doctor (and his fanatical engineering sidekicks) pulled on the coveralls for.

That’s who the free-breathing, 1969 W-Machines from Oldsmobile were created for.

Oh sure, the good doc has whipped off some pretty great coups in the past.  
Just last year, 4-4-2 was named Performance-Car-of-the-Year. And that was a standard 4-4-2.  
At the same time, Cutlass and F-85 models with newly tooled Rocket 350 V-8s were nailing down honors in the new mini-cube market.

So much for past history.  
This year, Dr. Oldsmobile has outdone himself—with a pair of 1969 W's that are really something else.

Take the new Olds 4-4-2 W-30.  
That means with Force-Air Induction. And that means with a pair of mammoth front air-scoops; wide-throat dual air ducts; dual intake air cleaner; minimum combustion chamber volume; separated center exhaust ports for optimum tuning; big intake and exhaust valves; streamlined and individually branched exhaust manifold; high-overlap cam; low-restriction dual exhausts; and a pair of whopper hood paint patches.

Not to mention a multitudinous array of axle ratios. Plus enough standard heavy-duty goodies to make any red-blooded car buff pop a few buttons with honest pride.

And what goes for W-30, goes ditto (in most cases) for its mini-cube mate, W-31. Available in Cutlass S and F-85 V-8 models.

The W-Machines have got it all—looks, swagger, and credentials!

But enough of words. Let’s get to goods.  
Turn the page,  
And make friends with a 1969 W-Machine. Or two.

- New exhaust manifold on W-30 and all regular 1969 Rocket V-8s features individual exhaust tubes for each cylinder. Result: smoother flow through entire speed range. W-Machines’ power goes the soul route.
- Cutaway shot of new floating-caliper-type front disc brake (standard on W-30).  
  Availability depending on engine choice.
- An inside look at one of eight beefy, 1969 Rocket engines (V-8s, naturally) in the Olds performance lineup.  
  One of the above is available with limited-slip axle or the limited-slip axle is available with one of them.",0,,,0
138.jpg,vrrrroom,1,letter R,word voom,1
139.jpg,Old Navy. Holiday. After Party. Up to 60% off. Not valid online. Select styles only. While supplies last.,0,,,1
140.jpg,strawberry milkshake.oreo,1,cookie,bottle,0
141.jpg,"""Double Stuf Oreo""",1,Double Stuf,milk,0
142.jpg,oreo.cookie balls.anything but cookiecutter.,1,cookie,snowman,1
143.jpg,dream with oreo.wonderfilled,1,cookie,face,1
144.jpg,canada.estados unidos de america.in an absolut world.oceano atlanti.golfo de mexico.,1,map,world,0
145.jpg,two halves.whole.oreo,1,cookies,people,0
146.jpg,oreo mini big love,0,,,0
147.jpg,explore with wonder,1,cookie,balloon,1
148.jpg,oreo milks favorite cookie.n,1,cookie,straw,0
149.jpg,oreo.mills favorite cookie.,1,cookie,head,1
150.jpg,less packaging.same number of servings.ovaltine.rich chocolate.a good source of 12 vitamins minerals.no artificial flavors or.,0,,,0
151.jpg,all natural.ben jerrys.vermonts finest.whats in your cone,1,ice cream,monkey,1
152.jpg,the amount of hopes in one bottle of hopslam equals the amount in 7.2 cases of a popular light beer.no clever headline needed.popular domestic light beer.hopslam.available midjanuary.look for it wherever fine beer is sold.,1,hops,body,1
153.jpg,tomorrows lestoilwomen of the future will make the moon a caleaner place to live.,1,detergent,astronaut,1
154.jpg,inexpensive...,1,spinner,charts,1
155.jpg,the more you play with itthe harder it gets.you sit there.eyes glued to the writhing.arcadequality graphics putting and squeezing your knob.now youre breathing heavily over the digital stereo sound.now youre shooting all ober the place.but its no use...game overjoystick.to be this good trhes .to be this good trhes sega.,0,,,0
156.jpg,chamclcou.by rolet.,1,Wrist watch,Chameleon,1
157.jpg,ipaad,1,woman,silhouette,1
158.jpg,fidji.la femme est une ile.fidji est son pargum.guy laroche.from parfums guy laroche paris.a special offeran 18k gold plate pendant free with your purchase of fidji 14oz perfume.available exclusively on board.,1,perfume,baby,1
159.jpg,panasonic.ideas for life.,1,vegetable,wave,1
160.jpg,"Panasonic?  
Eco-Max Light 600W with Crevice Nozzle  
WHERE NO VACUUM HAS GONE BEFORE",1,car,dust,1
161.jpg,foam epilationa beautiful idea to remove pave pam.soie.panasonic.ideas for life.,1,woman,flower,0
162.jpg,"We are fortunate for your #OrangeChickenLove and Chow Mein cravings.  
PANDA EXPRESS CHINESE KITCHEN
#ShareGoodFortune",0,,,0
163.jpg,food.locations.company.connect.tangy jumbo shrimp.need a hand with thatim good.try it freeget your coupon.sign up for a free chinese new year gift.learn with me.,1,people,panda,1
164.jpg,the first french onion soup was created by king louis xv using butteronionsand champagne.,1,onion,person,0
165.jpg,sky,1,cellphone,straw,1
166.jpg,"Audi e-tron  
The future of electric mobility.  
Audi Sport  
Vorsprung durch Technik.

Triple victory for ultra, e-tron and quattro.  
The ultra lightweight Audi R18 e-tron quattro wins the 24h of Le Mans.

Audi has gone down in motorsport history once again. In its eleventh overall victory at the 24h of Le Mans, Audi occupied positions one, two, and three. Even more remarkably, for the first time in the history of the famous endurance race, a vehicle with hybrid drive has triumphed: the Audi R18 e-tron quattro. In combination with Audi ultra lightweight construction, Audi e-tron technology boosts performance on the front axle through energy recuperated from braking. An impressive demonstration of Vorsprung durch Technik by team and technology.  

For more information visit www.audi-liveracing.com.",0,,,1
167.jpg,"BUY-SELL-RENT-FIX.COM  
Buy Sell Rent Fix Anything  
I ?? shopping  
POST ADS HERE",0,,,1
168.jpg,"Your Super Papa deserves a Free\ Super Papa’s
Your father is the best, so share the best pizza in town with him and your loved ones!

- PAPA  
- MAMA  
- ME  
- BRO  
- SIS  

 FATHER’S DAY SPECIAL VOUCHER  
 FREE 9” ORIGINAL CRUST PIZZA  
 of your choice with purchase of any 9”/12” Pizza.  

 ?? 1300-88-7272

 PAPA JOHN’S  
 Better Ingredients. Better Pizza.

 Valid from 15th - 16th June 2013 · Valid for dine-in & takeaway only · One redemption per receipt...",0,,,0
169.jpg,chunkasteroids.pepperidge farm.sweet indulgence.,1,chocolate,game,0
170.jpg,xijian.,0,,,0
171.jpg,"pepsi
2016百事乐猴王纪念罐  
2016 Monkey King Commemorative Pepsi",0,,,0
172.jpg,copybook cover drives should stay in the copybook.change the game.pepsi.,1,soda,guitar,1
173.jpg,vs.cocacola.,1,can,grenade,1
174.jpg,gatorade always wins.gatorade,1,soda,person,0
175.jpg,what do you care aboutthe pepsi refresh progect.every pepsi refresh the world.pepsi.,1,O,pepsi,1
176.jpg,The Hundreds. Pepsi-Cola. More Bounce to the Ounce. Always Hits the Spot.,0,,,1
177.jpg,enjoy.pepsicola...in the big big bottle.they say he works for peanuts,1,Monkey,Man,1
178.jpg,“DARE FOR MORE”  “PEPSI”,0,,,1
179.jpg,drre for more,1,cola,surfboard,1
180.jpg,“DIL MAANGE ABHI”  “pepsi”,0,,,1
181.jpg,"PEPSI
PEPSI-COLA",1,cola,mountain,1
182.jpg,win drink.play,1,note,word,1
183.jpg,"""SAY IT WITH PEPSI""",1,pepsi,people,1
184.jpg,perrier jouet,0,,,0
185.jpg,hine.cognac.societe b.a.p. bureau a paris6rue auguste vacquerie paris xvi.,1,drink,deer,0
186.jpg,grand,0,,,1
187.jpg,womens horlicks.because your body needs you too...brief.concept.results.,1,drink,dress,0
188.jpg,the cleanest fighter in the worldthe british tommy.sunlight soap.,1,box,ammunition,0
189.jpg,"UNHATE  
UNITED COLORS  
OF BENETTON.  
Supports  
the Unhate Foundation  
unhatefoundation.org

PRESIDENT OF THE USA  
PRESIDENT OF VENEZUELA",0,,,1
190.jpg,sexier,1,body,hair,1
191.jpg,la vraie soie.c est le vrai luxe et la vraie economie.exigez.madame.soie naturelle.dela.,1,woman,butterfly,1
192.jpg,earths first soft drink.perrier.,1,bottle,earth,1
193.jpg,martini.,1,Bottle,corpse,1
194.jpg,"BE AN Angel FOR ANIMALS

 Chained dogs suffer day in and day out.  
 They are cold, hungry, thirsty, vulnerable, and lonely.  
 Keep them inside, where it’s safe and warm.

 TARAJI P. HENSON & UNCLE WILLIE for PETA",1,women,angle,0
195.jpg,let vegetarianism grow on you.peta,1,Clothing,leaves,0
196.jpg,"Santa's not coming this Christmas  
 Milk can make you impotent.  
 Soy brings joy.  
 PETA GoVeg.com",1,man,man,1
197.jpg,delmonte.pineapple juice.truetothefruit flavor.,1,Can,Pineapple,1
198.jpg,"AS NATURE INTENDED,
LET ELEPHANTS BE FREE.

BOYCOTT
THE
CIRCUS.

OLIVIA MUNN
FOR PETA

Photo: Ramaa Sander/www.ramaasanders.com",1,women,animal,0
199.jpg,kidsif you dont eat your dogwhy eat a turkeygo vegan.peta,1,turkey,dog,1
200.jpg,let vegetarianism grow on you.this holiday season.for peta.,1,underwear,vegetables,0
201.jpg,"DOONEY & BOURKE  
NEW YORK",0,,,1
202.jpg,absolut iv.absolut vodka.,1,vodka,IV bottle,1
203.jpg,"
Confirm delivery address! We will safely drive there!",1,Cat,person,1
204.jpg,"THE MOST SENSATIONAL CARRIES OF THE SEASON ARE ON TUESDAY NIGHTS.""**



**""You could have your Pizza Hut Delivery pizza rushed right to your door by a Cleveland Brown! Every Tuesday night, five lucky Clevelanders will have their hot, fresh Pizza Hut pizza delivered by Browns star Eric Metcalf or Michael Dean Perry! Just call Pizza Hut!""**
",1,pizza,football,1
205.jpg,"YOU MAKE MY CHEESE MELT

Pizza Hut  
Need some cheesy and gooey lines to use today? SHARE this one with someone you’re crushin’ on. It’s a sure-fire win (maybe take that person out for pizza, too). — with Tamo Tamusa, Agus Prayoga, Erin Sampson, Ong",0,,,1
206.jpg,dream itdo itpeanutthe 7 grames of protein and 6essential nutrients are realharness the power of the peanut.,1,peanut,person,1
207.jpg,planters,1,nut,torso,0
208.jpg,living pots.sustainable cultivation unity.,1,wood,flowerpot,0
209.jpg,vitalize the foods you enjoy.,0,,,0
210.jpg,the only thing missing is your loan.union planters bank.,1,loan,house,1
211.jpg,after you toss up the capwere got you covered.congraatulationsafter years of late night study ressions.cheap pizza datasand trying to live like a rockstar on a broke student budget.you have finally graduated college.you may be thinkingnow whatlet npc help make your transition into the reala world as smooth as possibleso you can eventually live like a rockstaron an actual rockstar budget.pncbank.leading the way.,1,money,graduation cap,1
