Pic_id,Text,MetaphorOccurrence,Target,Source,SentimentCategory
34.jpg,你的粮心不会痛吗从我做心文明餐桌杜绝浪斑粮食限文明餐桌从我做起,1,心脏,粮食,0
35.jpg,远离毒品珍爱生命毒品是人类社会的公害,0,,,0
36.jpg,保护环境低碳生活镭脚绿色守护地球让我们起守护地球,0,,,0
37.jpg,美好我们共同努力,1,高楼,刷子,1
38.jpg,节约用电,1,灯泡,水,1
39.jpg,中国精神中国形象中国文化中国表达禾气致祥家和万事兴一洋文明封新凤公基广告,1,文字,刺绣,1
40.jpg,好胃口了结你 垃圾食品要人命,1,胃口,胃,-1
41.jpg,世界自然保护联盟濒危物种红色名录，展现人与白犀共处。,1,鸟,自然景色,0
42.jpg,和，文明上网，共建和谐，创建文明网络，共建和谐社会,1,文字,鼠标,1
43.jpg,保护动物城是保护线们自己万物之灵之首应负万物之灵,0,,,0
44.jpg,医网,0,,,-1
45.jpg,每一天低碳生活低碳生活节能降耗从我做起鸡山乡人民政府鸡山乡节能办,0,,,1
46.jpg,停止燃烧我们的生命,1,头,烟丝,1
47.jpg,元贾,1,car,people,1
48.jpg,行事心实如砣 以信赢天下,1,文字,秤砣,0
49.jpg,如果没有这滴水等待他们的是死亡,1,鱼骨,死亡,0
50.jpg,儿时妈妈说白发是自然痕迹长大我才懂白发我成长地操劳,1,白发,照顾,0
51.jpg,好吧我认输了不得不承认我永远也跑不过你们的子弹,1,鹿,人,1
52.jpg,珍爱生命请勿饮酒驾车破碎的也是生命,1,坡,酒瓶,0
53.jpg,禁止吸烟,0,,,1
54.jpg,地球一小时节能从心开始低碳点满做起,1,地球,灯,0
55.jpg,文明奏响爱的乐章,1,人,音符,1
56.jpg,保护动物,1,鱼,文字,1
57.jpg,苍蝇不叮无缝的蛋,1,人,蛋,0
58.jpg,浪费生命的罪恶,1,文字,水龙头,0
59.jpg,关爱自己关心他人请拒绝吸烟珍惜生命拒绝烟草人关爱生命远离香烟卫生健康局爱卫办,1,肺,树木,1
60.jpg,世界水日节约用水我在行动节约用水不要让最后一满水成为我们的眼泪要节约用水保护水资源世界水日,1,水,眼泪,1
61.jpg,低碳生活绿色出行,1,车,叶子,1
62.jpg,原则坚持自我才能找到自己的人生目标找到了就不能动摇,1,星空,海洋,1
63.jpg,专家学者计划建议发明方案,1,专家,周围,1
64.jpg,赞美孝心,1,人影,大拇指,1
65.jpg,"碳中和
中国将在2030年前实现碳排放达到峰值，力争在2060年前实现碳中和。",1,自行车,自然景色,1
81.jpg,珍爱生命请勿酒驾萨鄂在清中安格在杯中元,1,时速表,酒瓶,0
82.jpg,共享碧水蓝天发展清洁能源节能减排让我们从细微开始,1,风力发电机,叶子,1
83.jpg,众志成城共间抗疫游必文明进行,0,,,0
84.jpg,坚决杜绝校园暴力，拒绝校园暴力,0,,,1
85.jpg,欲文明健你有我文明有礼,0,,,0
86.jpg,"《东周列国志》 冯梦龙?明  
木无本必枯，水无源必竭。",1,水,哭泣,1
87.jpg,节约用纸，拯救自然,1,纸,鹿,0
88.jpg,布非花情迷人品味书香倾听书声传染书鑫领路书韵,1,书,花,0
89.jpg,讲文明树新风做文明人说文明遗行,1,钟表,行为,0
90.jpg,扶贫济困践行友善爱是一起努力爱是永不放手,0,,,0
91.jpg,鲜嫩之吻当蒸汽吻过鲈鱼的鲜才懂爱情保鲜的秘密是时刻认蒸清蒸鲈鱼，老板全球领先民族品牌精湛科技轻松烹饪老板电器,0,,,0
92.jpg,向酒驾醉驾说不,1,汽车,杯子,1
93.jpg,美好安徽，脸谱文化，共创美好安徽，文化安徽，脸谱文化，文化悠久，特产丰富，美食徽菜，旅游,1,山,文字,0
94.jpg,节约水资源和平生态共建美好家园,0,,,1
95.jpg,节能减排美好生活,0,,,0
96.jpg,酒驾的终点,1,酒瓶,道路,1
97.jpg,人类不要再害行你自己的癌症发病都与环境污染有关,1,天空和土壤,癌症,1
98.jpg,阅读给予我们创新的源泉,1,书,水壶,1
99.jpg,酒驾失去的是完整的家庭,1,车,照片,1
100.jpg,节约用电举手之劳,1,电,树木,1
101.jpg,下载癌中香烟吸烟者的脚步,1,香烟,人,1
102.jpg,遵守交通安全严禁酒后驾驶,1,酒瓶,手铐,1
103.jpg,苹粮而论今当节之所有的食物都是我伪心中最完美的礼物，节约粮食,1,苹果,蔬菜,1
104.jpg,下单秒内发货小时自动发送百度网盘链接到聊天窗口购买即发送全部素材模版编辑软件支持ps cs6或ai cs6及以上版本编辑,0,,,1
105.jpg,讲文明树新风长江日报公益广告绿色生活低碳出行,1,树叶,公交车,0
106.jpg,业,0,,,1
107.jpg,文明健康有你有我欢人防总械勤洗手镇顺共克时双康戴口罩少外出不聚会卫众志成城重科学所富直生活新风尚健康好习惯,1,口罩,文字,1
108.jpg,生命诚可费请勿酒后驾车,1,酒,马路,1
109.jpg,"
山东省农村信用社联合社济宁审计中心  
节约粮食  
谁知盘中餐，粒粒皆辛苦  
“舌尖”浪费可耻 “光盘”行动光荣  
半丝半缕恒念物力维艰  ",0,,,1
110.jpg,兵木兰角小时前李易峰限你三日之内年月日下午之前在个人微博认证账号回李易峰或者工作室官微壹峰信向我公开置顶道款保留不少于五个工作日如上述两号被依法依规关闭则将置顶道款保留在公司官博回博众星和其他要求同上不变希望你做个人做个男人做个诚实的人全文最新地承消息,0,,,0
111.jpg,"爱人者，人恒爱之，中国精神，中国形象，中国文化，中国表达
讲文明树新风公益广告",1,爱,花,1
112.jpg,联合国凡童高会会作为父母你们知道孩子在想什么吗不要让学习束缚了孩子,1,尺子,文字,1
113.jpg,我们要像呵护牙齿一样呵护我们的环境，建设美丽中国。,1,树木,牙齿,1
114.jpg,这个盘子我洗不干净,0,,,0
115.jpg,珍爱生命远离酒驾,0,,,1
116.jpg,节能减排同呼吸共命运让我们一起呵护它,1,电灯,树叶,0
117.jpg,珍格粮食江离浪费青约是中华民族的传统美德是是我们民族世代相传的精神财富中是我们这个民族百折不饶生生不息的力最源泉一粒粮食吃饭当节位约用,1,电灯,树叶,1
118.jpg,进行曲,1,电灯,树叶,0
119.jpg,“NETFLIX 限定剧”**， **“达默”**， **“怪兽：杰弗里·达默的故事”**， **“9 月 21 日 |NETFLIX“*,0,,,0
120.jpg,拒绝酒驾 珍惜生命 安全文明出行,1,酒,血,1
121.jpg,"

珍惜生命 禁止酒驾
喝酒不开车 开车不喝酒 平安回家",0,,,1
122.jpg,"富强 民主 文明 和谐  
自由 平等 公正 法治  
爱国 敬业 诚信 友善",0,,,1
123.jpg,节约用水关‘住’点滴  节约用水·爱护地球,0,,,1
124.jpg,节约用水·爱护地球,0,,,1
125.jpg,抗击疫情人人有资在一一起何一线医务工作者致所面众志成城万众一心团结一致战胜疫情,0,,,1
126.jpg,节能减排助力企业文化当先,1,地球,叶子,1
127.jpg,绿色出行，低碳生活，节能减排，低碳出行，追求低碳生活,0,,,0
128.jpg," 呼吸
低碳环保
关注生态低碳生活
让我们每一次呼吸都无比畅快
每天好心情",1,电灯,风景,0
129.jpg,来cj看妹子妈妈造么,0,,,1
130.jpg,喝酒不开车做中国好司机,0,,,1
131.jpg,请文明排队文明从脚下起步创建从你我开始,0,,,1
132.jpg,然文明健原能金奖公益传墙有你有我守望相助,0,,,1
133.jpg,暴牌气的熊猫搞笑,0,,,1
134.jpg,"二月初二 龙抬头  
你抬头了吗？  
 杰士邦",1,避孕套,水,0
135.jpg,公益海报酒后驾车害人已珍爱生命请勿酒驾醉罪在酒中毁海在杯中留网,1,car,drink,1
136.jpg,保护生态环境垃圾分类从自己做起,1,垃圾,山,1
137.jpg,"

一举高中“梅”压力
十分轻松占鳌头
龙门
高考真题
来伊份话梅片 酸甜可口更减压
来伊份 LYFEN",1,高考真题,台阶,1
138.jpg,愛情找到幸福,1,钻戒,柚子,1
139.jpg,节约盘中餐粒粒皆珍贵,1,米,金币,1
140.jpg,爱水惜水节水,1,水滴,地球,1
141.jpg,"

---
绿色出行 从我做起

健康出行 低碳生活

低碳生活

节能减排 绿色出行 健康一生

保护好我们共同的家",0,,,1
142.jpg,广告人国际大奖,0,,,0
143.jpg,低碳生活你我同行为了我们共同的家园和长久的美好未来从现在做起从我做起,0,,,1
144.jpg,别让一环酒带你走上不归路别让您孩子的等待没有了期限,1,酒杯,汽车,1
145.jpg,"提倡节能，从我做起  
节约能源，从小事做起  
节能办公 绿色环保  
节能多一点 文明美德添一点  
随手关灯 一点一滴见文明  
空调设置有讲究 夏季不低于26℃  
合理使用电脑和办公设备  
节约用电 人人有责",1,电灯,地球,1
146.jpg,倡导低碳生活,0,,,1
147.jpg,节约用水,1,水,地球,1
148.jpg,低碳生活，绿色骑行，讲文明话，办文明事，做文明人，创文明城市,1,眼镜,自行车,0
149.jpg,世界上没有你去不了的地方启利程理想为浆书本导航文明果土书青龙江,1,指南针,书,1
150.jpg,"绿色发展 低碳生活
居住篇 >>>
- 选择低碳装修材料
- 低碳设计营造健康生活
- 避免室内环境污染
- 日常生活防护电磁辐射
- 防止家具噪声
- 充分利用自然光
- 巧装修避免光污染",1,云朵,自然景色,1
151.jpg,年轻就要敢尝试,1,坚果,人,1
152.jpg,别忘记你还有乡,1,房子,面包,0
153.jpg,禁止酒后驾车为了您和您的家人开车不喝酒喝酒不开车施行创意设计宣,1,文字,车轮,0
154.jpg,节约一点能源还您一片蔚蓝,1,电灯,地球,1
155.jpg,畅想绿色生活创造美好家园你我共同携手主共建文明和谱城市文件可做户外大型广告点击右边他的作品库可进入查看更多作品伦慧,0,,,1
156.jpg,国际修临动物保护日珍稀动物是在自然界较为稀有和珍资的动物国际上各个国家都出现了不同程度珍稀动物灭绝的问题为此国际上将每年的月日定为国际珍稀动物保护日保护动物,0,,,1
157.jpg,州列是兰,1,碗,地球,1
158.jpg,拍下发百度网盘链接拍下旺旺自动发送网盘链接邮箱也是发网盘链接新疆用户可以联系客服分享给您格式和文件大小详情页都有本店商品的下载包内都附有安装教程本店不负责使用教学使用中的问题请自己百度虚拟素材非实物不邮寄,0,,,1
159.jpg,禁止酒驾全国肉通安全日拒绝危险驾驶安全文明出行确定12月2日为全国交通安全日主要考虑数字122作为我国道路交通事故报警电话于年开通井投入使用群众对此认知度高方便记忆和宣传同时考虑每年月日我国已进入冬季是文通事故多发期春运等道路交通出行和运输高峰也即将开始有利于宣传预防道路交通事故,1,文字,车轮,1
160.jpg,"节能减排低碳生活  
爱我家园 共护地球  
留一片绿地 留一份资源",1,树木,游乐场,1
161.jpg,请协助他们保留完美的形象,1,动物,人,1
162.jpg,免畅艺品,1,路灯,豹,0
163.jpg,"一滴清水
一片绿地
一个地球
水是生命之源  
请君节约用水",0,,,0
164.jpg,严禁酒驾,0,,,0
165.jpg,"文明健康 有你有我  
营造优美舒适环境  
倡导文明健康生活  
文明养成 爱卫同行",0,,,0
166.jpg,"低碳城市 宜居可持续
Save the green
与环保同行 回归绿色 维护环境 你我共责任
",1,电灯,叶,1
167.jpg,"农产品质量安全 与生命息息相关
农产品质量安全事关人民群众的身体健康和生命安全，关系到构建和谐社会和推进社会主义新农村的全面建设",1,火箭,玉米,0
168.jpg,"
请不要伤害我们  
保护动物，负万物之灵之责",0,,,0
169.jpg,"珍爱水 保护水 实现人与自然和谐相处  
节约用水 利国利民  
科学用水 科技节水  
人水和谐 科学发展

节约用水 让我们行动起来",0,,,1
170.jpg,节约用纸造福未来节约一张纸一片天节约用纸就等于保护森林资源节约每一张纸为为人类造每一份福,1,纸,树木,1
171.jpg,少开一盏灯多添一绿叶节能爱环境从我做起临泉县文明办宣,1,电灯,地球,1
172.jpg,文明有礼和谐之城文明就是您的礼服,1,元宝,山,1
173.jpg,家庭暴力简称家景是指发生在家庭成员之间的以酸打捆绑茶闭残害或者其它手段对家庭成员从身体心理性等方面进行伤雪和摧残的行为父母对子女或者对自己的亲兄弟姐妹施器也是家庭力,0,,,0
174.jpg,"【酒后驾车害人害己】
珍爱生命
请勿酒驾
【醉(罪)在酒中毁(悔)在杯中】 
推杯换盏添加喜庆，酒后驾车徒增伤悲。今晚上酒家，爱车留在家。酒后禁驾，从“心”开“驶”。酒后开车晃悠悠，老婆孩子心忧忧。 
酒后驾驶活受罪，就算不死也残废。家庭事业皆成功，酒驾意外全成空。一杯醉驾酒，多少离别愁。喜酒三杯不算多，开车滴酒也酿祸
酒后驾车在熟悉的路，也是不归路",1,心率,酒瓶,0
175.jpg,"树立绿色发展理念 推进生态文明建设
绿色出行
低碳生活
追求绿色时尚 走向绿色文明
携手共建 美好家园
绿色出行
低碳生活
追求绿色时尚 走向绿色文明
绿色漩涡",0,,,1
176.jpg,拯救动物，拯救行动，爱护朋友,0,,,0
177.jpg,"逆流大叔
 龙之男儿

6.28 纵横人生
",0,,,1
178.jpg,"创建
文明城市

禁止酒驾
拒绝酒驾 文明礼让 人人有责
文明城市是社会文明、社会和谐在城市的缩影，是社会文明、
社会和谐在城市的集中表现。
因为城市是人类社会的历史在各个发展阶段上文明成果的积淀，
是人类文明发展到一定阶段上的产物；文明时代的城市第一次具有了城市的意义，
文明时代的城市第一次揭开“城市文明",0,,,0
179.jpg,珍爱生命请勿饮酒驾车破碎的也是生命,1,酒瓶,汽车,0
180.jpg,"貪
拿的是不是自己的
行为决定你的未来
公生明
廉生威",1,文字,钱,1
181.jpg,这辈子就两爱好种种瓜听听泰腔瓜农刘盼羊岁,1,耳机,南瓜,0
182.jpg,酒醉驾珍爱生命禁止酒驾年,0,,,0
183.jpg,拒绝野味敬畏自然,1,地球,动物,1
184.jpg,保护动物和谐共存网没有买卖就没有伤害保护动物就是保护我们自己万物之灵之首应负万物之灵之责善待动物和谐生存保护动物吧,0,,,1
185.jpg,"请勿酒驾
醉驾
珍爱生命·禁止酒驾
酒驾[1]是指驾驶员酒后驾驶机动车辆，严重会被判刑。
2008年世界卫生组织的事故调查显示，大约50%—60%的交通事故与酒后驾驶有关，
酒后驾驶1已经被列为车祸致死的主要原因。

驾车莫贪杯中酒
后悔之药不会有",0,,,0
186.jpg,送小著一份外面黄的里面也是黄的脑袋还是绿的井装营小王子并留片仅广告创意,1,饮料,菠萝,1
187.jpg,请勿吸烟,1,头,香烟,1
188.jpg,随手关灯一小步节约能源一大步,1,电灯,树木,1
189.jpg,"携手共建绿色城市
环境保护|能源|绿色城市|生态环境|林业局",1,房子,草,1
190.jpg,网易云音,0,,,1
191.jpg,国际消除家庭果力日风对家庭暴力阿护美好家庭双得自庆与立权利的买现以及对各国图承主权和领土号验的环量凯格会馄进社会退步和发展从需有阳于实费男女的克全理鲸,0,,,1
192.jpg,"黑龙江省优秀公益广告作品展
你是我的耳
我听不到
但是我能感受到！
你是我的嘴
我说不出
但是我心里明白！
你是我的眼
我看不到
但是我能触摸到！
你是我的腿
我踏不了
但是你能到达任何地方！",0,,,1
193.jpg,"儿时妈妈说  
白发是自然变白的  
长大我才懂  
原来  
我就是她的白发  
我成长  
她操劳  ",1,白发,照顾,1
194.jpg,绿色出行，你的改变足以改变世界。,1,脚丫,企鹅,1
195.jpg,人肉搜索据报道国青年被群酸唐媛与八卦一封信网友文给违反交规的父亲写别让网络因住了善良原型遭网友炮轰某嫩模不堪网络暴力县家身销唐媽与八卦协会成升红媒体的竞气年周星驰五宗罪辽宁女张雅事作号号向华强老瞪名成都女司机遭暴打事件己在大阅兵期间晒儿子照片行们久区怀遭网友炮轰不爱国疯狂条根亚大牌件地铁让座事件袁栅珊滚出娱乐圈事件高跟鞋,1,鸟,绳子,0
196.jpg,碧浪洗衣液广告,1,洗衣液,猛兽,1
197.jpg,和而不同,0,,,0
198.jpg,"生活在可口可乐生活的一面
可口可乐",1,可口可乐,人,1
199.jpg,"践行绿色生活
2015年“6·5”环境日主题
践行绿色生活
中华人民共和国环境保护部",1,云朵,建筑,1
200.jpg,月日世界无烟草禁止烟草广告南保无烟青春,1,肺,香烟,-1
201.jpg,"

节约用水

水是生命之源
珍爱生命·节约用水

文 / 明 / 从 / 我 / 做 / 起",1,水,沙漏,1
202.jpg,酒驾是无视他人生命存在尊重生命严禁酒驾,0,,,0
203.jpg,拾金不味,1,鹿,自然景色,1
204.jpg,节能减排低碳生活爱我家园共护地球,0,,,0
205.jpg,"拒绝校园暴力
对校园
霸凌说不
每一个孩子都是正在绽放的花朵，无论是霸凌者还是被霸凌者，其实
对他们都会造成伤害，所以在面对校园暴力时，父母
和老师一定要做到及时发现、及时解决。",0,,,1
206.jpg,筷筷有爱,0,,,0
207.jpg,君子爱材取之有道,0,,,1
208.jpg,善用纸张珍惜资源,1,树,纸,0
209.jpg,"保护动物
保护动物，
就是关爱人类自己。
世界动物日·保护动物
庆祝“世界动物日”的宗旨在于宣传饲养伴侣动物所带来的乐趣，
让公众意识到动物对人类社会所做的贡献，同时促使各个动物保护组织齐心协
力，推动人们以负责任的态度饲养伴侣动物。
保护动物
人人有责
别让
他们
无家可归",1,海豚,水,1
210.jpg,节约用水从我做起节约用水保护地球,1,水,地球,0
211.jpg,"富强 民主 文明 和谐
自由 平等 公正 法治
爱国 敬业 诚信 友善
言行举止皆形象
细微之处见文明
吐痰请用纸巾装，随手扔入垃圾箱
我在这里啊！
文明健康 有你有我 公益广告",1,垃圾桶,人,0
212.jpg,拒绝酒驾珍惜生命,1,血,酒,1
213.jpg,若干年局保护环境刻不容缓,1,地球,地球,0
214.jpg,绝酒喝酒不开车做中国好司机诊爱生命请勿酒驾,1,酒瓶,手铐,0
215.jpg,"文明是根基  
失去根基便失去一切",1,根,文字,1
216.jpg,"勤俭节约
传/统/美/德/勤/俭/节/约
勤俭节约形容工作勤劳，生活节俭。我国自古就以勤俭
作为修身齐家治国平天下的美德。一切贤哲都主张过一种简朴的生活，
以便不为物役，保持精神的自由",0,,,-1
217.jpg,"红动中国·江西站
用心做设计，只为超越未来
原创作品设计
能源节约
红动中国江西站
节约能源 绿色环保 循环利用
坐月子对女性来说是关系到一生健康而且极其重要的大事，妈妈们应该引起足够的重视。
月子期间是为了产妇调理身体，弥补虚损的。
只要你来就有各种好礼等你拿",1,风车,树木,1
218.jpg,回顧金雞．影帝鄭超,0,,,1
219.jpg,"2013
低碳生活
癸巳年生肖蛇年",0,,,0
220.jpg,精品红弘中国江西站只为超热来来厨护美好家园舞护家面绿色生活节约用水点满开始节约用水高清素材一图层精细一作品一格式请号位购中国做格网料扶,1,水龙头,地球,1
221.jpg,企鹅号电竞帝,0,,,1
222.jpg,请熄烟,1,烟,肺,0
223.jpg,保护野生动物保护野生动物拒绝猎杀,1,大象,刀子,1
224.jpg,"保护水资源

共建家园
从我做起
节约用水是每个公民的责任和义务！
保/护/环/境/人/人/有/责",1,水,地球,0
225.jpg,"节能减排 低碳生活  
爱我家园 共护地球  
节约水电粮食  
珍惜能源点滴",0,,,1
226.jpg,"节约用水
你我做起
节约用水
惜水、爱水、节水，
从每一位员工自身做起。
水是人类赖以生存和发展的重要资源，没有水就没有生命，
就没有文明的进步。因此，从现在做起、从自身做起，彻底杜绝
长流水、浪费水的现象，人人养成惜水、爱水、节约水资源的良
好习惯，大力开展“节约每一滴水”活动，把节约用水意识提高
到一个新的高度，落实到每一位员工，人人争当节约用水的模范。",0,,,1
227.jpg,统一鲜橙多,1,橙汁,橙子,1
228.jpg,节能减排,1,灯芯,叶子,0
229.jpg,"追求低碳时尚
拥抱绿色生活
Hi 今天你低碳了吗？",0,,,1
230.jpg,"生命至上  
拒绝酒驾  
9月9日  
全国拒绝酒驾日 ",1,马路,酒,1
231.jpg,街能减排低碳生活爱我家园共护地球玲情使用莫乱花不要过度消费,1,物品,草,1
232.jpg,保护动物  保护动物 关爱生命 从我做起,0,,,0
233.jpg,"
保护环境 人人有责
你知道我在等你吗",1,垃圾桶,人,1
234.jpg,节约用水约水器水是生命之源请珍惜每一滴水一,1,自来水,雨滴,1
235.jpg,保护环境从我身边做起。,1,地球,草,1
236.jpg,"倡导低碳生活  
绿 / 色 / 出 / 行 / 从 / 我 / 做 / 起  
低碳出行  
节能减排 低碳环保 绿色健康伴我一生",0,,,0
237.jpg,环保生活低碳出行,0,,,1
238.jpg,节约用水从点滴做起,0,,,1
239.jpg,"拒绝
污染
垃圾
分类
可回收物
废弃电子，
通过有效回收，可提取贵金属。
垃圾，其实是放错位的资源",1,垃圾,黄金,1
240.jpg,"文明惠阳
文明健康 有你有我
谨慎驾驶 一路平安
文明出行 礼让为先
文明出行
中共惠州市惠阳区委宣传部
惠州市惠阳区精神文明建设委员会办公室
惠阳区新时代文明实践中心",0,,,0
241.jpg,"【农夫山泉提交赴港上市申请】农夫山泉正式迈出登陆二级市场的第一步，目的地是港股而非A股。4月29日，农夫山泉向港交所递交了港股首次公开募股（IPO）申请。农夫山泉对上市的兴趣由来已久。早在2008年，公司就开始接受中信证券的上市辅导，彼时公司希望在A股挂牌，这一合作一直延续到2... 全文
农夫山泉",1,矿泉水,山泉,0
242.jpg,禁止吸烟,1,烟,恶魔,1
243.jpg,时尚界的受害者比你想象的要多。,1,豹子,衣服,0
244.jpg,七夕快喜真情流露真青酒彩及时止佳快要下用我去按你及时止住我去接你订场锅,1,爱情,雨伞,1
245.jpg,用微信扫一扫浏览作者更多作品长智光电珍惜他人劳动成果爱护温馨舒适环境,0,,,1
246.jpg,精心慢熬4小时,0,,,0
247.jpg,福门用让消费更放心,1,数字,各种物品,0
248.jpg,"燃烧的是香烟
消耗的是生命
现在戒还来得及
珍爱生命·远离香烟",1,肺,烟,1
249.jpg,节约用水从一点一滴开始节约用水珍惜水资源节约每滴水水是生命之源地球上的淡水资源正在逐年减少我们保护水资源的第步就是要学会节约用水,1,水,地球,1
250.jpg,提倡再利用节约能源开发新能源创建亲环境节约用电从我做起优化管理合理用水,1,电,树,1
251.jpg,拒绝酒驾遵守交通规则远离酒驾健康出行,1,马路,酒,-1
252.jpg,君子有度,1,光,钱,0
253.jpg,"和谐潍坊
高密剪纸
美满人间的高密剪纸之花蕴涵着乡情诗意，洋溢着劳动人民的
审美气质，凝聚着中华民族之神韵。
高密剪纸在民间历史悠久，广为普及。高密剪纸有其独特的风格，一是块与线形成
黑白灰色调，相互衬托，对比强烈，并富有韵律感。二是纸条挺拔，浑厚粗犷，富有
浓重的金石意味。三是以精巧的构思见长。构图夸张变形不失真。其题材多为花鸟鱼
虫、戏剧故事、吉祥图案、生活习俗等，深受群众喜爱。作品不具成法，粗犷中见清
秀，稚拙中藏精巧。",1,文字,剪纸,1
254.jpg,文明河北塞军坝林场社会主义核心价值观富强民主自由平等爱国敬业文明和谐公正法治诚信友善,0,,,1
255.jpg,电是宝贵的下班时请及时关闭电脑饮水机打印机等一切用电设备,1,电,树,1
256.jpg,"世界粮食日

“一粥一饭，当念来处不易；
半丝半缕，恒念物力维艰”",0,,,1
257.jpg,"绿色城市
低碳生活
你我共同携手，共建文明和谐城市
环保公益海报",0,,,1
258.jpg,地球还有多少水让我们浪费,1,水龙头,旱土,0
259.jpg,敢来就别想空手而归,0,,,1
260.jpg,设计师对客户的70条神吐槽,0,,,0
261.jpg,"楚天杯公益广告
2022年湖北省楚天杯公益广告活动
作品发布会
筑梦
乡村振兴
主办单位：湖北省市场监管局、湖北省委网信办、湖北省文明办、湖北省农业农村厅
承办单位：湖北省广告协会",0,,,1
262.jpg,救救我,1,口水,海啸,1
263.jpg,讲座服务大家欢迎现在来参加我们公益讲座,0,,,1
264.jpg,百家号中国设计之面,1,头发,彩带,0
265.jpg,欢迎加入宝贝回家公益计划如您不能领养也欢迎提供流浪动物教助线豪短心扫的区城游组织地址中国选江省杭州市街道团结路号,0,,,0
266.jpg,越远的下手机品牌越要团圆奇酷手机中秋送福人人有礼不行麻在等我玉见在还不能被吃掉转发园奇酷手机棉顶微博将裁图发送至奇酷手机官方微信奇酷手机千万红包限量码这个中秋人人有礼,1,人,动物,1
267.jpg,节能减排绿色出行,1,车轮,花,1
268.jpg,水是生命之源节约用冰水是生命之源,1,文字,水,1
269.jpg,电请节约画一度户外写真哑膜恺水爱水节约用水从我做起户外写真配膜,1,电灯,地球,1
270.jpg,世界在变，唯一不变的是999感冒灵的保护。,1,药,安全帽,0
271.jpg,人保护海洋资源人人有贡,0,,,1
272.jpg,设计师对客户的70条神吐槽,0,,,0
273.jpg,节德成排绿色未来节德减排有广义和疾义定义之分广义而育游少皮奔物和环境有富物创括三城和理应等排放滨义而高,1,地球,草,1
274.jpg,珍惜水源美好生活,1,水,手,1
275.jpg,我行林心价值利楼专共筑中国梦人民有信仰国家有力量民族有希望友善公正自由车中城平等法法治主富强和哮文明主和谐主爱国羊诚信敬业文网信安次,1,品德,齿轮,1
276.jpg,动物,0,,,1
